id,common_name,scientific_name,kingdom_group,category,subcategory,season,habitat,description,edibility,medicinal_uses,warning,conservation_status,image_search,image_url
broom,Broom,Cytisus scoparius,Flora,Shrub,Native/long-established shrub,Apr-Jun,"Heath, scrub, roadsides, sandy acidic soils",Green-stemmed shrub with bright yellow pea-flowers.,Not edible; toxic compounds present,Historic medicinal use but unsafe for self-treatment,"Contains alkaloids; avoid ingestion, especially pregnancy or heart issues.",Common in suitable acidic habitats,Cytisus scoparius,
cross-leaved-heath,Cross-leaved Heath,Erica tetralix,Flora,Shrub,Bog/heath plant,Jun-Sep,"Wet heath, bogs, acidic moorland",Pink bell-flowered heather of wet bog and heath habitats.,Not edible,No home medicinal use recommended,Bog habitats are fragile; avoid trampling and picking.,Common in suitable wet acidic habitats,Erica tetralix,
dog-rose,Dog Rose,Rosa canina,Flora,Shrub,Native hedgerow rose,Flowers Jun-Jul; hips autumn,"Hedgerows, scrub, woodland edges",Climbing native rose with pale pink flowers and red hips.,Hips edible when prepared; remove irritating hairs,Traditional rosehip syrup; not medical advice,Hairs inside hips irritate mouth and gut; avoid sprayed areas.,Common native hedgerow shrub,Rosa canina,
gorse,Gorse / Furze,Ulex europaeus,Flora,Shrub,Heath and hedgerow shrub,"Flowers mainly Jan-Jun, often all year","Heaths, commons, hedgebanks, coastal scrub",A spiny evergreen shrub with coconut-scented yellow flowers.,Flowers sometimes used as flavouring; not a staple food,Mostly folklore and flavouring rather than medicine,Sharp spines; seeds not for eating,Common; supports nesting birds and insects,Ulex europaeus,
guelder-rose,Guelder Rose,Viburnum opulus,Flora,Shrub,Native wet woodland shrub,Flowers May-Jul; berries autumn,"Wet woodland, hedges, riverbanks, fens","White lacecap flowers followed by red berries, attractive in damp hedges.",Berries not eaten raw; caution,Traditional bark uses in herbalism; not medical advice,Raw berries can cause stomach upset; avoid medicinal use.,Native; valuable for insects and birds,Viburnum opulus,
juniper,Juniper,Juniperus communis,Flora,Shrub,Native conifer shrub,All year; berries ripen slowly,"Limestone pavement, heaths, uplands, dunes",Spiny evergreen shrub with blue-black berry-like cones.,Berries used as spice in tiny amounts; caution,Traditional flavouring; not medical advice,Avoid during pregnancy/kidney problems; never use medicinally without advice.,Native but local and declining in places,Juniperus communis,
spindle,Spindle,Euonymus europaeus,Flora,Shrub,Native hedgerow shrub,Flowers May-Jun; berries autumn,"Hedgerows, scrub, limestone woodland edge",Shrub with striking pink-orange autumn fruits and vivid autumn colour.,Poisonous; not edible,No safe home medicinal use,Fruits and plant parts are toxic if eaten.,Native but local; good hedgerow diversity species,Euonymus europaeus,
alder,Alder,Alnus glutinosa,Flora,Tree,Native wet woodland tree,All year; catkins late winter-spring,"Riverbanks, lake margins, wet woodland, carr","Native waterside tree with cones and nitrogen-fixing roots, stabilising riverbanks.",Not edible,Traditional dye and timber uses; not medical advice,Avoid cutting riverside trees without permission.,Native; valuable riparian habitat tree,Alnus glutinosa,
ash,Ash,Fraxinus excelsior,Flora,Tree,Native tree,All year,"Hedgerows, limestone woods, farms, river valleys","Tall native tree with black buds and winged keys, once widespread in Irish hedgerows.",Not edible,Traditional timber tree rather than medicinal plant,Ash dieback affects many trees; avoid moving infected material.,Native; severely affected by ash dieback disease,Fraxinus excelsior,
aspen,Aspen,Populus tremula,Flora,Tree,Native tree,All year,"Wet woodland, uplands, river valleys, lake edges",Tree with trembling leaves that flutter in light wind; often spreads by suckers.,Not edible,Traditional bark uses; not medical advice,Avoid damaging small clonal stands.,Native but local,Populus tremula,
crab-apple,Crab Apple,Malus sylvestris,Flora,Tree,Native fruit tree,Flowers Apr-May; fruit Sep-Oct,"Old hedgerows, woodland edge, scrub",Small native apple with tart fruits and blossom valuable to pollinators.,Fruit edible when prepared; very sharp raw,Traditional jelly and preserves; not medicine,Avoid roadside/sprayed fruit; confirm identity.,Native but often hybridises with domestic apple,Malus sylvestris,
downy-birch,Downy Birch,Betula pubescens,Flora,Tree,Native wetland tree,All year,"Bog edges, wet woodland, uplands, damp acidic soils",A native birch better suited to wet and upland conditions than silver birch.,Sap sometimes tapped traditionally; caution,Traditional sap uses; not medical advice,Do not damage trees or protected bog-edge habitats.,Native; important in wet woodland,Betula pubescens,
pedunculate-oak,Pedunculate Oak,Quercus robur,Flora,Tree,Native lowland tree,All year; acorns autumn,"Lowland woodland, hedgerows, parkland, river valleys","A broad native oak with acorns on stalks, one of Ireland’s most wildlife-rich trees.",Acorns not eaten raw; expert processing required,Traditional bark uses; not medical advice,Avoid damaging veteran trees.,"Native; important for insects, fungi and birds",Quercus robur,
scots-pine,Scots Pine,Pinus sylvestris,Flora,Tree,Native conifer,All year,"Woodland, plantations, bog margins, uplands",Tall pine with orange bark high on the trunk; native Irish genetic lineages are of conservation interest.,Not a normal food plant,Pine resin and needles have traditional uses; not medical advice,Do not ingest or use medicinally without expertise.,Native status complex; important conifer habitat,Pinus sylvestris,
sessile-oak,Sessile Oak,Quercus petraea,Flora,Tree,Native woodland tree,All year; acorns autumn,"Old woodland, upland woods, demesnes, hedgerows","A native oak forming important Irish Atlantic oakwoods and supporting huge numbers of insects, lichens and birds.",Acorns not eaten raw; expert processing required,Traditional tannin-rich bark use; not medical advice,Do not strip bark or remove from protected woodland.,Native; key woodland biodiversity tree,Quercus petraea,
silver-birch,Silver Birch,Betula pendula,Flora,Tree,Native pioneer tree,All year,"Light woodland, heaths, bog edges, gardens","Graceful birch with pale bark, catkins and light foliage, often colonising open ground.",Sap sometimes tapped traditionally; caution,Traditional sap and bark uses; not medical advice,Do not wound trees without permission or expertise.,Native; valuable early successional tree,Betula pendula,
wild-cherry,Wild Cherry,Prunus avium,Flora,Tree,Native flowering tree,Flowers Apr-May; fruit summer,"Woodland edges, hedgerows, old demesnes",Spring blossom tree producing cherries loved by birds.,Fruit edible if ripe; stones and leaves not eaten,Traditional food tree; not medicine,"Cherry stones, leaves and wilted foliage can be harmful.",Native/local; valuable blossom and bird food,Prunus avium,
wych-elm,Wych Elm,Ulmus glabra,Flora,Tree,Native tree,All year; flowers early spring,"Woodland, ravines, hedgerows, limestone areas","Broad-leaved elm species, often surviving as younger trees due to Dutch elm disease.",Not edible,No home medicinal use recommended,Dutch elm disease has affected mature trees.,Native but mature trees reduced by disease,Ulmus glabra,
yew,Yew,Taxus baccata,Flora,Tree,Evergreen poisonous tree,All year; red arils in autumn,"Churchyards, old woods, estates, limestone areas",Long-lived evergreen tree often found in old churchyards and ancient sites.,"Poisonous; not edible except fleshy aril is technically edible but seed is highly toxic, so avoid entirely","Important in pharmaceutical history, but not for home use",Seeds and foliage can be deadly to humans and animals,Native; some ancient trees are culturally significant,Taxus baccata,
blackthorn,Blackthorn,Prunus spinosa,Flora,Tree / Shrub,Hedgerow shrub,Flowers Mar-Apr; sloes Sep-Nov,"Hedgerows, scrub, woodland edge",Early white blossom before leaves; produces blue-black sloes.,Sloes not eaten raw; used in preserves or sloe gin after preparation,Traditional food use; not medicine,Sharp thorns can cause deep punctures; avoid raw fruit in quantity,Common hedgerow species,Prunus spinosa,
elder,Elder,Sambucus nigra,Flora,Tree / Shrub,Hedgerow tree,Flowers Jun-Jul; berries Aug-Sep,"Hedgerows, roadsides, woodland edges, gardens",Creamy flowerheads and dark berries; strongly associated with hedgerows and old farm places.,Flowers edible when prepared; cooked berries used; raw parts unsafe,Traditional elderflower drinks and syrups; not medical advice,"Leaves, bark, stems and raw berries can cause illness",Common; valuable for insects and birds,Sambucus nigra,
hawthorn,Hawthorn,Crataegus monogyna,Flora,Tree / Shrub,Hedgerow tree,Flowers May; berries Sep-Nov,"Hedgerows, field edges, scrub, woodland edge","A thorny hedgerow tree with white blossom and red haws, central to Irish field boundaries.",Berries edible when prepared; leaves historically nibbled in spring,Traditional heart associations in herbalism; not medical advice,Seeds contain compounds best avoided; do not self-treat heart conditions,Common; excellent for birds and pollinators,Crataegus monogyna,
hazel,Hazel,Corylus avellana,Flora,Tree / Shrub,Native woodland shrub,Catkins Jan-Mar; nuts Aug-Sep,"Woodland understorey, hedgerows, limestone pavement",Multi-stemmed native shrub producing catkins and hazelnuts; supports dormice elsewhere and many insects.,Nuts edible if ripe and uncontaminated,Traditional food plant; not medicine,Nut allergy risk; only gather where legal and safe.,Native; important coppice and hedgerow species,Corylus avellana,
holly,Holly,Ilex aquifolium,Flora,Tree / Shrub,Evergreen native tree,Flowers May-Jun; berries autumn-winter,"Woodland, hedgerows, gardens","Glossy evergreen leaves and red berries, iconic in winter landscapes.",Berries toxic; not edible,Folklore and seasonal use; not medicine,Berries can cause vomiting; prickly leaves,Native; valuable bird cover and winter food,Ilex aquifolium,
rowan,Rowan / Mountain Ash,Sorbus aucuparia,Flora,Tree / Shrub,Native tree,Flowers May-Jun; berries Aug-Oct,"Upland woods, hedgerows, gardens, rocky places","A small tree with clusters of red berries, often linked with protection folklore.",Berries require cooking and careful preparation; raw berries not recommended,Traditional use in preserves; not medical advice,Raw berries can cause stomach upset,Native; valuable food for birds,Sorbus aucuparia,
common-reed,Common Reed,Phragmites australis,Flora,Wetland plant,Reedbed grass,Jul-Oct,"Reedbeds, lakeshores, marshes, canals, estuaries",Tall reed forming dense stands that shelter birds and insects.,Young shoots historically edible; expert-only,Traditional thatch and craft uses; not medicine,Wetland access can be dangerous; avoid disturbing nesting birds.,Common; important reedbed habitat,Phragmites australis,
reedmace-bulrush,Reedmace / Bulrush,Typha latifolia,Flora,Wetland plant,Marsh plant,Jun-Aug,"Ponds, marshes, ditches, lake margins",Tall wetland plant with brown sausage-shaped flower spikes.,Some parts edible with expertise; caution,Traditional craft/absorbent uses; not medical advice,Only forage with expert identification and clean water source.,Common in wetlands,Typha latifolia,
yellow-iris,Yellow Iris,Iris pseudacorus,Flora,Wetland plant,Reedbed flower,May-Jul,"Ponds, lakeshores, ditches, marshes, canals",Large yellow iris of wet places and pond margins.,Poisonous; not edible,No safe home medicinal use,Rhizomes and leaves can be toxic and irritating.,Common wetland plant,Iris pseudacorus,
marsh-marigold,Marsh Marigold,Caltha palustris,Flora,Wetland wildflower,Marsh plant,Mar-May,"Marshes, wet ditches, stream edges, wet woodland",Bright yellow spring wetland flower also called kingcup.,Not edible; irritant,No safe home medicinal use,Can irritate skin/mouth; avoid ingestion.,Common in wet habitats,Caltha palustris,
meadowsweet,Meadowsweet,Filipendula ulmaria,Flora,Wetland wildflower,Meadow and marsh herb,Jun-Sep,"Damp meadows, riverbanks, fens, ditches",Creamy frothy flowers with a sweet almond-like scent.,Caution; sometimes used as flavouring,Historically associated with salicylates and pain relief; not medical advice,"Avoid with aspirin sensitivity, blood-thinning medication, pregnancy, or ulcers unless medically advised",Common in suitable wet habitats,Filipendula ulmaria,
water-mint,Water Mint,Mentha aquatica,Flora,Wetland wildflower,Aromatic wetland herb,Jul-Oct,"Streams, ditches, marshes, wet meadows","Purple-flowered mint with strong scent, growing in wet places.",Leaves used as flavouring with caution,Traditional tea/flavouring; not medical advice,Avoid polluted water and medicinal use without advice.,Common in wetlands,Mentha aquatica,
bilberry,Bilberry / Fraughan,Vaccinium myrtillus,Flora,Wild edible plant,Upland berry,Flowers Apr-Jun; fruit Jul-Sep,"Heaths, bog edges, upland woodland, acidic soils","Low shrub with dark edible berries, traditionally gathered on uplands.",Ripe berries edible when confidently identified,Traditional food; high in pigments; not medical advice,Avoid confusion with unknown berries; wash and forage lightly,Local; sensitive to trampling and habitat change,Vaccinium myrtillus,
blackberry-bramble,Blackberry / Bramble,Rubus fruticosus agg.,Flora,Wild edible plant,Hedgerow fruit,Flowers May-Sep; fruit Aug-Oct,"Hedgerows, scrub, woodland edges, disturbed ground",A sprawling thorny plant producing blackberries and shelter for wildlife.,Ripe berries edible,Traditional food plant; leaves used in teas historically,Thorns; avoid mouldy berries and polluted sites,Very common; major wildlife habitat,Rubus fruticosus,
common-sorrel,Common Sorrel,Rumex acetosa,Flora,Wild edible plant,Meadow herb,May-Aug,"Grassland, meadows, verges, open places",Arrow-shaped leaves with a sharp lemony taste.,Edible in small amounts; caution,"Traditional food plant, not medicine","High oxalic acid; avoid large amounts, kidney problems, or gout risk",Common,Rumex acetosa,
dandelion,Dandelion,Taraxacum officinale agg.,Flora,Wild edible plant,Lawn and meadow flower,Mar-Oct,"Lawns, meadows, verges, disturbed ground",Bright yellow composite flower followed by clock-like seed heads.,"Edible; leaves, flowers and roots used when correctly identified",Traditional bitter herb; root used as coffee substitute; not medical advice,Avoid sprayed lawns and roadsides; latex may irritate,Very common and pollinator-friendly,Taraxacum officinale,
stinging-nettle,Stinging Nettle,Urtica dioica,Flora,Wild edible plant,Hedgerow herb,Mar-Oct,"Hedgerows, waste ground, gardens, nutrient-rich soils","A common plant with stinging hairs, important for butterflies and wildlife.",Young leaves edible after cooking or drying,Traditionally used as a spring tonic and for tea; not medical advice,Stings irritate skin; avoid older leaves and polluted sites,Common; valuable wildlife plant,Urtica dioica,
wild-garlic,Wild Garlic,Allium ursinum,Flora,Wild edible plant,Woodland herb,Mar-Jun,"Damp deciduous woodland, riverbanks, shaded lanes",A strong garlic-scented spring plant with white starry flowers.,Edible when confidently identified,Traditionally valued as a spring tonic; culinary herb rather than medicine,Can be dangerously confused with lily-of-the-valley or young arum if relying on leaves alone,Common locally; forage lightly and legally,Allium ursinum,
wood-sorrel,Wood Sorrel,Oxalis acetosella,Flora,Wild edible plant,Woodland herb,Apr-Jun,"Damp woodland, mossy banks, shaded places",Small clover-like leaves and delicate white flowers in shaded woods.,Edible in tiny amounts; caution,Traditional sharp flavouring; not medical advice,Contains oxalic acid; avoid large quantities,Common in old damp woodland,Oxalis acetosella,
ribwort-plantain,Ribwort Plantain,Plantago lanceolata,Flora,Wild plant,Grassland herb,Apr-Oct,"Lawns, meadows, paths, verges",Ribbed lance-shaped leaves and dark flower spikes; very common.,Young leaves edible but fibrous,Traditional poultice plant; not medical advice,Avoid polluted sites; check identity,Very common,Plantago lanceolata,
bird-s-foot-trefoil,Bird's-foot Trefoil,Lotus corniculatus,Flora,Wildflower,Legume,May-Sep,"Grassland, dunes, road verges, heaths",Yellow pea-flower important for common blue butterflies and bees.,Not a normal food plant,No home medicinal use recommended,Avoid eating wild legumes without expert knowledge.,Common; high pollinator value,Lotus corniculatus,
bluebell,Bluebell,Hyacinthoides non-scripta,Flora,Wildflower,Native woodland flower,Apr-May,"Ancient woodland, hedgerows, shaded banks",A spring flower carpeting Irish woodlands with violet-blue bells; a classic indicator of old woodland.,Not edible; toxic if eaten,"Historically present in folklore, not suitable for home medicine",All parts can be toxic; native bluebells should not be picked or dug up,Native; protected from uprooting in the wild; threatened by hybridisation with Spanish bluebell,Hyacinthoides non-scripta,
common-knapweed,Common Knapweed,Centaurea nigra,Flora,Wildflower,Meadow flower,Jun-Oct,"Meadows, verges, rough grassland","Purple thistle-like flower loved by bees, butterflies and hoverflies.",Not a regular food,No home medicinal use recommended,Leave seed heads for birds and insects.,Common; good pollinator plant,Centaurea nigra,
common-vetch,Common Vetch,Vicia sativa,Flora,Wildflower,Legume,May-Aug,"Hedgerows, rough grassland, field edges",Climbing pea-family plant with purple flowers and tendrils.,Not recommended as wild food,No home medicinal use,Pea-family seeds can be unsafe; avoid casual eating.,Common,Vicia sativa,
cow-parsley,Cow Parsley,Anthriscus sylvestris,Flora,Wildflower,Umbellifer,Apr-Jun,"Roadside verges, hedgerows, woodland edges",Frothy white spring umbellifer lining Irish roads and hedges.,Not recommended for eating by beginners,No home medicinal use recommended,Can be confused with deadly hemlock and other umbellifers.,Common,Anthriscus sylvestris,
cowslip,Cowslip,Primula veris,Flora,Wildflower,Grassland flower,Apr-Jun,"Old meadows, limestone grassland, road verges",Yellow nodding flowers in clusters; associated with species-rich unimproved grassland.,Caution; historically edible in small amounts,Traditional use for coughs and sleep; not medical advice,Can be confused with related plants; avoid medicinal use without expert advice,Local and declining where old meadows are lost,Primula veris,
creeping-buttercup,Creeping Buttercup,Ranunculus repens,Flora,Wildflower,Grassland flower,Apr-Aug,"Damp grassland, lawns, ditches, pasture",Glossy yellow buttercup common in damp grassy places.,Not edible; irritant,No safe home medicinal use,Fresh plant can irritate skin and mouth; toxic to grazing animals when fresh.,Common,Ranunculus repens,
creeping-thistle,Creeping Thistle,Cirsium arvense,Flora,Wildflower,Thistle,Jul-Sep,"Fields, verges, rough grassland, disturbed soil",Spreading thistle with purple flowers and windborne seeds.,Not a casual food,No home medicinal use recommended,Sharp spines; can be a problem weed in pasture.,Common; good for pollinators,Cirsium arvense,
cuckooflower,Cuckooflower / Lady's Smock,Cardamine pratensis,Flora,Wildflower,Damp meadow flower,Apr-Jun,"Damp meadows, ditches, marshy grassland",Pale lilac spring flower often appearing when cuckoos return.,Leaves and flowers edible with peppery taste when correctly identified,Traditional spring salad plant; not medical advice,Avoid polluted wet sites and protected meadows,Common locally; food plant for orange-tip butterfly,Cardamine pratensis,
daisy,Daisy,Bellis perennis,Flora,Wildflower,Grassland flower,"All year, strongest spring-autumn","Lawns, short grassland, paths",Small white-and-yellow flower familiar from lawns and short grass.,Flowers/leaves edible in small amounts; caution,Traditional minor wound/herb uses; not medical advice,Avoid sprayed lawns and polluted sites.,Very common,Bellis perennis,
eyebright,Eyebright,Euphrasia officinalis agg.,Flora,Wildflower,Grassland semi-parasite,Jun-Sep,"Short grassland, dunes, heaths, upland turf","Small white-and-purple flower, part of a difficult group of similar species.",Not edible,Traditional eye herb; not medical advice,Do not put wild preparations in eyes; infection risk.,"Common group, identification complex",Euphrasia officinalis agg.,
foxglove,Foxglove,Digitalis purpurea,Flora,Wildflower,Poisonous woodland flower,Jun-Sep,"Woodland clearings, banks, hedgerows, uplands","Tall spikes of purple tubular flowers, dramatic and beautiful.",Poisonous; not edible,Source plant for cardiac drugs under pharmaceutical control only,Deadly if ingested; never use as home medicine,Common; leave undisturbed,Digitalis purpurea,
herb-robert,Herb-Robert,Geranium robertianum,Flora,Wildflower,Woodland herb,Apr-Oct,"Walls, woodland, hedges, shaded banks",Small pink cranesbill with reddish stems and a strong scent.,Not generally eaten,Traditional wound herb; not medical advice,Avoid medicinal use without expertise.,Very common,Geranium robertianum,
oxeye-daisy,Oxeye Daisy,Leucanthemum vulgare,Flora,Wildflower,Meadow flower,May-Sep,"Meadows, verges, dunes, grassland",Large white daisy of meadows and road verges.,Caution; not a staple food,Traditional minor uses; not medical advice,Can trigger allergies in daisy-family sensitive people.,Common in suitable grassland,Leucanthemum vulgare,
primrose,Primrose,Primula vulgaris,Flora,Wildflower,Spring flower,Feb-May,"Hedgerows, woodland edges, grassy banks","One of the earliest Irish spring flowers, pale yellow with a deep yellow centre.","Flowers and leaves sometimes used historically, but forage cautiously",Traditional use in teas and salves; not medical advice,Avoid eating from roadsides or sprayed areas; allergies possible,Common but locally sensitive; leave wild plants undisturbed,Primula vulgaris,
ragwort,Ragwort,Jacobaea vulgaris,Flora,Wildflower,Toxic grassland plant,Jun-Nov,"Pastures, verges, waste ground","Yellow daisy-like flower, important for cinnabar moth but toxic to grazing animals.",Poisonous; not edible,No safe home medicinal use,"Toxic to livestock, especially in hay; do not ingest",Common; managed carefully near grazing,Jacobaea vulgaris,
red-campion,Red Campion,Silene dioica,Flora,Wildflower,Woodland edge flower,Apr-Sep,"Hedgerows, woodland edges, lanes, damp banks",Pink-red wildflower brightening hedges and woodland edges.,Not a food plant,No home medicinal use recommended,Avoid ingesting unless expertly advised.,Common,Silene dioica,
red-clover,Red Clover,Trifolium pratense,Flora,Wildflower,Meadow legume,May-Oct,"Meadows, verges, pastures, gardens",Pink-red clover flower loved by bees and bumblebees.,Flowers edible in small amounts; caution,Traditional tea plant; not medical advice,"Avoid medicinal use with hormone-sensitive conditions, pregnancy, or blood thinners unless advised",Common; pollinator-friendly,Trifolium pratense,
selfheal,Selfheal,Prunella vulgaris,Flora,Wildflower,Grassland herb,Jun-Sep,"Lawns, meadows, woodland rides, paths",Low purple flower of lawns and damp grassland.,Edible in small amounts; caution,Traditional wound and throat herb; not medical advice,Avoid using medicinally without advice.,Common,Prunella vulgaris,
spear-thistle,Spear Thistle,Cirsium vulgare,Flora,Wildflower,Thistle,Jul-Oct,"Grassland, disturbed ground, pasture, verges",Tall spiny thistle with purple flower heads loved by insects.,Not a casual food,No home medicinal use recommended,Sharp spines; handle carefully.,Common; valuable seed and nectar plant,Cirsium vulgare,
teasel,Teasel,Dipsacus fullonum,Flora,Wildflower,Tall seed-head plant,Jul-Sep; seed heads winter,"Rough grassland, verges, disturbed ground","Tall plant with prickly oval seed heads, attractive to goldfinches in winter.",Not edible,No home medicinal use recommended,Spiny; avoid handling roughly.,Local/common in disturbed habitats,Dipsacus fullonum,
tormentil,Tormentil,Potentilla erecta,Flora,Wildflower,Heath and grassland herb,May-Sep,"Heath, bog, rough grassland, woodland rides",Small yellow four-petalled flower of acidic grassland and heath.,Not a regular food,Traditional astringent root use; not medical advice,Avoid medicinal use without expertise.,Common,Potentilla erecta,
white-campion,White Campion,Silene latifolia,Flora,Wildflower,Hedgerow flower,May-Sep,"Hedgerows, verges, waste ground",White-flowered campion often scented in evening and visited by moths.,Not a food plant,No home medicinal use recommended,Do not ingest unless expertly advised.,Common,Silene latifolia,
wood-avens,Wood Avens,Geum urbanum,Flora,Wildflower,Woodland herb,May-Aug,"Woodland edges, hedges, shaded paths",Yellow flower with hooked seed heads that cling to clothing and fur.,Root historically used as clove-like flavouring; caution,Traditional digestive herb; not medical advice,Avoid medicinal use; gather only where permitted.,Common,Geum urbanum,
yarrow,Yarrow,Achillea millefolium,Flora,Wildflower,Grassland herb,Jun-Oct,"Grassland, verges, lawns, dry banks",Feathery leaves and flat white flower clusters; aromatic when crushed.,Caution; not a casual food,Traditional wound herb; not medical advice,"Avoid during pregnancy, with blood thinners, or allergies to daisy family.",Common,Achillea millefolium,
lords-and-ladies,Lords-and-Ladies / Cuckoo Pint,Arum maculatum,Flora,Woodland plant,Poisonous plant,Apr-Nov,"Hedgerows, woodland, shaded banks",Distinctive hooded spring flower followed by bright red berry spikes.,Poisonous; not edible,No safe home medicinal use,Berries and plant parts can severely irritate mouth and throat,Common in shaded habitats,Arum maculatum,
birch-polypore,Birch Polypore,Fomitopsis betulina,Fungi,Fungus,Bracket fungus,All year,Dead or dying birch trees,"Hoof-like bracket fungus on birch, important in wood decay.",Not generally eaten,Historic tinder and medicinal associations; not medical advice,Do not self-medicate; leave fungi to support woodland ecology.,Common where birch occurs,Fomitopsis betulina,
chanterelle,Chanterelle,Cantharellus cibarius,Fungi,Fungus,Edible mushroom - expert only,Jul-Oct,"Mossy woodland, often with birch/oak/conifers",Golden funnel-shaped mushroom prized by expert foragers.,Edible only with expert identification,Culinary mushroom; not medicine,Can be confused by beginners; never eat unless expertly confirmed.,Local in suitable woodland,Cantharellus cibarius,
death-cap,Death Cap,Amanita phalloides,Fungi,Fungus,Deadly mushroom,Jul-Nov,"Broadleaf woodland, especially with oak/beech",Greenish deadly Amanita mushroom responsible for severe poisonings.,Deadly poisonous; not edible,No safe medicinal use,Can be fatal if eaten; mushroom foraging requires expert verification.,Local but dangerous,Amanita phalloides,
field-mushroom,Field Mushroom,Agaricus campestris,Fungi,Fungus,Edible mushroom - expert only,Jul-Oct,"Unimproved grassland, pastures, meadows","White-gilled mushroom of grassland, related to shop mushrooms.",Edible only with expert identification,Culinary mushroom; not medicine,Dangerous confusion with poisonous white mushrooms possible.,Common but foraging requires expertise,Agaricus campestris,
fly-agaric,Fly Agaric,Amanita muscaria,Fungi,Fungus,Poisonous mushroom,Aug-Nov,"Birch, pine and mixed woodland","Iconic red mushroom with white spots, often associated with birch and pine.",Poisonous; not edible,No safe home medicinal use,Toxic and psychoactive; do not eat.,Widespread in suitable woodland,Amanita muscaria,
jelly-ear-fungus,Jelly Ear Fungus,Auricularia auricula-judae,Fungi,Fungus,Woodland fungus,All year,Dead elder and broadleaf wood,Brown ear-shaped jelly fungus often found on elder.,Edible by experts; not for beginners,Traditional food in some cultures; not medicine,Do not eat wild fungi without expert ID.,Common on elder,Auricularia auricula-judae,
